bank,comment,rating,source,time,target,language
PayMe,Can’t transfer to me friend by use my fingerprint after updated new version today,1,AppStore,04/10/2017 11:06,HK Bank,en
PayMe,"Expected working app from trusted bank, got what seems to be a phishing scam",1,AppStore,09/02/2017 18:54,HK Bank,en
PayMe,Any testing performed or HSBC is expecting us to perform the resting for them?,1,AppStore,08/02/2017 18:10,HK Bank,en
PayMe,"This app is not ready. The app got problems right from the beginning.
 ----------------------------------------------------------------------------------------- 
 ",1,AppStore,08/02/2017 16:29,HK Bank,en
PayMe,Showed 'there is an issue sending the link - 17101' pls fix this issue,1,AppStore,08/02/2017 13:41,HK Bank,en
SC Mobile Hong Kong,"I cannot even open the apps. Once open, the security warning popped up.
 ----------------------------------------------------------------------------------------- 
 ",1,AppStore,20/09/2019 23:25,HK Bank,en
SC Mobile Hong Kong,"For a bank like this, app update lagging behind like this is unacceptable!
 ----------------------------------------------------------------------------------------- 
 ",1,AppStore,20/09/2019 11:02,HK Bank,en
SC Mobile Hong Kong,"very basic features, not enough features to attract app use. no stock trading function.",1,AppStore,15/05/2019 10:11,HK Bank,en
SC Mobile Hong Kong,The newly updated version is not working at all. Can anyone fix it ASAP,1,AppStore,02/10/2018 12:33,HK Bank,en
SC Mobile Hong Kong,Keep being kicked out of the app after upgrading phone to iPhone Xs max!,1,AppStore,24/09/2018 04:31,HK Bank,en
SC Mobile Hong Kong,"App crashed when start in iPhone Xs Max, can't use the app at all.",1,AppStore,23/09/2018 09:48,HK Bank,en
SC Mobile Hong Kong,"one of the worst bank apps, always need to update for using, very unstable",1,AppStore,15/09/2018 16:25,HK Bank,en
SC Mobile Hong Kong,"Once you upgrade, you have to go thru mobile key for every desktop login",1,AppStore,12/09/2018 12:28,HK Bank,en
SC Mobile Hong Kong,"Unstable and reset my registered login as we last app update , crappy app",1,AppStore,06/09/2018 22:11,HK Bank,en
SC Mobile Hong Kong,I can’t login without changing my password which I don’t want to change now.,1,AppStore,08/07/2018 19:22,HK Bank,en
SC Mobile Hong Kong,I not even can access the login screen. And this with an iPhone X.,1,AppStore,22/01/2018 22:16,HK Bank,en
SC Mobile Hong Kong,"Total fail after updating the app
Can’t even log in and do anything now",1,AppStore,29/10/2017 12:14,HK Bank,en
SC Mobile Hong Kong,Need update for the app. Lot of things can't be done by the app.,1,AppStore,25/06/2017 18:18,HK Bank,en
SC Mobile Hong Kong,The design of this app is ugly and the navigation is not user friendly.,1,AppStore,11/10/2011 22:55,HK Bank,en
AlipayHK,What the hell s going on? Malware s found with latest version of alipay.,1,GooglePlay,10-Feb-18,HK Bank,en
